date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-07-01 00:00:00,,-0.11420664046151918,-0.39568262291495127,-0.2319025499112489,,,
2016-07-01 01:00:00,-0.2380094392956287,-0.0814002714271363,-0.4113561846737414,,0.9239704456399899,0.8574449056901414,
2016-07-01 02:00:00,,,,-0.29104336710079826,,,1.6882029668703729
2016-07-01 03:00:00,,,,,0.6362863065548713,,1.368009672385529
2016-07-01 04:00:00,-0.28540923983906646,,-0.4113561846737414,,,0.7039925369569313,1.0066102397681163
2016-07-01 05:00:00,-0.2474893859105947,,,-0.19265959730863952,,,
2016-07-01 06:00:00,,0.34508310972566913,,-0.05503285844159743,,1.6697415972077325,1.1051312363290806
2016-07-01 07:00:00,,0.5091151883799143,-0.29153400078730823,0.08259388042544467,1.7354964134043993,2.2802149954700806,1.1462204848795396
2016-07-01 08:00:00,,,,,,,0.9738087965595558
2016-07-01 09:00:00,,,-0.34880840891641846,,-0.33153373935851027,,0.48108692417261684
2016-07-01 10:00:00,-0.3421475053268898,,,-0.01578990583898805,-0.09537543553280958,1.0592680001090113,0.7767668034376242
2016-07-01 11:00:00,,,,-0.01578990583898805,0.32283965932772846,,
2016-07-01 12:00:00,,,-0.3644819706752086,-0.01578990583898805,-0.20014388316620482,,
2016-07-01 13:00:00,-0.38006729178675375,0.21385740010580592,-0.3696088495635811,0.20032273823327282,,1.2627591328631274,
2016-07-01 14:00:00,,,,0.2589108612129217,,0.9591904720671994,0.7273895268984419
2016-07-01 15:00:00,,,-0.2656066987137757,,,,
2016-07-01 16:00:00,-0.4464270530287314,0.08263180722710912,-0.3800090611561611,-0.05503285844159743,-0.3839180655471285,,0.7192183884918307
2016-07-01 17:00:00,-0.37058734517178776,0.04982543819272624,-0.39040927274874115,,,,
2016-07-01 18:00:00,-0.2474893859105947,0.31227674069128625,,0.18042489011860685,,,
2016-07-01 19:00:00,,0.3778894787600518,,0.18042489011860685,-0.04384980501723397,,0.6288685303374771
2016-07-01 20:00:00,-0.28540923983906646,,,,,,0.5303475337765111
2016-07-01 21:00:00,-0.3233290262989302,,,0.18042489011860685,,,
2016-07-01 22:00:00,-0.3611073985568218,,-0.30720754508409576,0.16107978563066344,,1.1109748024651633,
2016-07-01 23:00:00,-0.38954723840171973,0.31227674069128625,-0.3176077741386784,,-0.5144492260663905,,
2016-07-02 00:00:00,,0.41069596453560037,-0.23425957519619536,,-0.5402119389522574,,0.908089243207149
2016-07-02 01:00:00,,0.3778894787600518,,0.2589108612129217,,,
2016-07-02 02:00:00,-0.3138490796839644,0.44350233356998303,,0.3373967664181404,-0.6716019998884044,0.9591904720671994,0.784937941844237
2016-07-02 03:00:00,,,-0.20305892295645275,0.3373967664181404,-0.7497488342190479,,
2016-07-02 04:00:00,-0.3990272524852935,0.41069596453560037,-0.2707335776021481,0.3373967664181404,-0.7497488342190479,,
2016-07-02 05:00:00,-0.27592922575549267,0.5091151883799143,,,-0.5402119389522574,,
2016-07-02 06:00:00,-0.2664492791405267,0.5091151883799143,-0.26033334854756557,,-0.06961272264694274,,
2016-07-02 07:00:00,-0.2474893859105947,0.4763087026043657,-0.2656066987137757,0.3373967664181404,0.008534316427543072,,
2016-07-02 08:00:00,,,-0.24993311949298302,,-0.12199684409171978,1.1109748024651633,0.850657495196643
2016-07-02 09:00:00,-0.30436913306899843,0.4763087026043657,,,-0.33153373935851027,,
2016-07-02 10:00:00,0.35908652539994196,,0.3434650184774573,1.3394741804078698,-0.01722839645832415,,
2016-07-02 11:00:00,0.6243838862914484,,0.567289405599704,0.9072488263742523,0.5323767593383609,,
2016-07-02 12:00:00,0.321166738940078,,,0.6911361493574434,0.03515592973029444,1.6197026343504526,0.875287799998591
2016-07-02 13:00:00,,1.722462864577488,0.46314071362405024,,-0.06961272264694274,1.5179570679733954,0.8013971082395713
2016-07-02 14:00:00,0.1979272305396967,1.1980498720312798,,,-0.14775955697758625,1.7714871635847909,0.9327195480090962
2016-07-02 15:00:00,0.4349262332568858,1.4272050763033794,0.39033924993799307,0.8680058078825471,-0.2525280046109815,1.4662502656172434,1.014898045110015
2016-07-02 16:00:00,0.34960651131636816,,,,-0.14775955697758625,,
2016-07-02 17:00:00,0.35908652539994196,,0.3799390208834102,,,1.4662502656172434,
2016-07-02 18:00:00,,1.1980498720312798,0.3850658648477774,,0.2704555378829518,,
2016-07-02 19:00:00,0.3875264327134478,1.0340177933770336,0.3434650184774573,0.5142664908323399,0.03515592973029444,1.4662502656172434,
2016-07-02 20:00:00,0.36856640454630013,,,,,1.5179570679733954,1.6307712188598666
2016-07-02 21:00:00,0.27376693839664024,,,,,1.6697415972077325,1.039528349911962
2016-07-02 22:00:00,0.292726831626572,,0.39033924993799307,0.7110339974721093,-0.09537543553280958,1.6697415972077325,
2016-07-02 23:00:00,,,0.36953879182882743,,,,
2016-07-03 00:00:00,0.4254462191733117,1.5584307859232422,,,,,
2016-07-03 01:00:00,,,0.3538652475320399,1.0841184848993557,,,1.4828729457597192
2016-07-03 02:00:00,0.4254462191733117,1.1980498720312798,0.4423403253628955,,,1.6697415972077325,
